央视,#genre#
CCTV1,http://223.105.252.60/PLTV/4/224/3221228581/index.m3u8?servicetype=1
CCTV1,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226032/index.m3u8?
CCTV1,http://gslbserv.itv.cmvideo.cn:80/6000000001000029752/index.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=3
CCTV2,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226217/index.m3u8?
CCTV2,http://gslbserv.itv.cmvideo.cn:80/6000000001000014161/index.m3u8?channel-id=wasusyt&Contentid=6000000001000014161&livemode=1&stbId=3
CCTV3,http://223.105.252.59/PLTV/4/224/3221228499/index.m3u8?servicetype=1
CCTV3,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225885/index.m3u8?
CCTV4,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225958/index.m3u8?
CCTV5,http://223.105.252.61/PLTV/4/224/3221228502/index.m3u8?servicetype=1
CCTV5,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226088/index.m3u8? 
CCTV5+,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226199/index.m3u8?
CCTV6,http://223.105.252.60/PLTV/4/224/3221228185/index.m3u8?servicetype=1
CCTV6,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225826/index.m3u8?
CCTV7,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226035/index.m3u8?
CCTV8,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225888/index.m3u8?
CCTV9,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225961/index.m3u8?
CCTV10,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226220/index.m3u8?
CCTV11,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225703/index.m3u8?
CCTV12,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225771/index.m3u8?
CCTV13,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226041/index.m3u8?
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225974/index.m3u8?
CCTV15,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225971/index.m3u8?
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://39.134.136.161:6610/000000001000/5000000008000023254/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000008000023254
